id,gene,chr,fpos,tpos,strand,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50
cg00002120,Gene3163,15,95147337,95147337,+,NA,0.18,0.44,0.57,0.4,0.63,0.59,0.92,0.18,0.47,0.53,0.43,0.23,0.97,0.05,0.76,0.28,0.87,0.62,0.77,0.13,0.07,0.19,0.66,0.69,0.83,0.1,0.48,0.51,0.71,0.21,0.05,0.19,0.72,0.02,0.04,0.76,0.6,0.25,0.87,0.21,0.16,0.45,0.54,0.37,0.96,0.9,0.18,0.12,0.66
cg00002121,Gene1170,16,3395303,3395303,+,0.52,0.91,0.08,0.37,0.5,0.58,0.8,0.54,0.6,0.78,0.41,0.36,0.34,0.9,0.04,0.02,0.11,0.78,0.4,0.52,0.56,0.79,0.04,0.85,0.1,0.93,0.34,0.83,0.07,0.42,0.58,0.84,0.01,0.13,0.65,0.01,0.49,0.69,NA,0.7,0.2,0.67,0.23,0.47,0.76,0.5,0.18,0.86,0.85,0.13
cg00002122,Gene2369,8,51349246,51349246,-,0.07,0.66,0.64,0.36,0.86,0.56,0.98,0.19,0.65,0.1,0.18,0.43,0.82,0.14,0.3,0.84,0.63,0.1,0.73,0.92,0.35,0.86,0.24,0.11,0.56,NA,0.17,0.2,0.52,0.84,0.93,0.48,0.32,0.81,NA,0.92,0.84,0.9,0.61,0.28,0.95,0.02,0.17,0.1,0.23,0.68,NA,0.19,0.33,0.88
cg00002123,Gene4478,7,32528196,32528196,-,0.71,0.53,0.02,0.62,0.25,0.68,0.6,0.01,0.82,0.34,0.21,0.66,0.65,0.17,0.77,0.32,0.84,0.04,NA,NA,0.82,0.37,0.14,0.59,0.29,0.59,0.97,0.1,0.11,0.86,NA,0.24,0.23,0.27,0.49,0.4,NA,0.95,0.68,0.35,0.63,NA,0.8,0.88,0.14,0.56,0.07,0.77,0.69,0.69
cg00002124,Gene4154,4,62356883,62356883,-,0.75,0.2,0.35,0.58,0.69,0.48,0.91,0.44,0.72,0.7,0.22,0.06,0.09,0.59,NA,0.26,0.14,0.06,0.44,0.32,0.27,0.5,0.76,0.27,0.16,0.62,0.95,0.25,0.8,0.83,0.41,0.71,0.42,0.04,0.55,0.79,0.65,0.73,0.38,0.29,0.69,NA,0.69,0.79,0.37,0.55,0.16,0.28,0.89,NA
cg00002125,Gene1278,18,58190088,58190088,-,0.8,0.68,0.11,0.77,0.34,1.0,0.85,0.73,0.23,0.66,0.36,0.9,0.03,0.79,0.06,0.2,0.55,0.39,0.13,0.58,0.87,0.75,0.08,0.65,0.56,0.58,0.11,0.25,0.4,NA,0.13,0.37,0.06,0.85,0.92,0.42,0.84,0.39,0.36,0.36,0.9,0.33,0.18,0.22,0.08,0.04,0.65,0.07,0.49,0.08
cg00002126,Gene2390,10,25303135,25303135,+,0.57,0.49,0.94,0.5,0.57,0.98,NA,0.5,0.16,0.64,0.62,0.01,0.71,0.85,0.87,0.61,0.67,0.09,0.48,0.05,0.49,0.58,0.72,0.21,0.61,0.22,0.9,0.47,0.62,0.48,0.49,0.6,0.75,0.11,0.15,0.47,0.98,0.35,0.81,0.38,0.29,0.77,0.43,0.21,0.04,0.48,0.01,0.68,0.7,0.12
cg00002127,Gene1769,22,36926209,36926209,-,0.23,0.79,0.79,0.81,0.82,0.5,0.3,0.92,0.45,0.94,0.41,0.6,NA,0.07,0.85,0.41,0.48,0.49,0.46,0.11,0.99,0.74,0.82,NA,0.32,NA,0.71,0.47,NA,0.62,0.43,0.93,0.38,0.96,0.33,0.94,0.95,NA,0.6,0.17,0.1,0.59,0.13,0.7,0.06,0.87,0.39,0.15,0.2,0.92
cg00002128,Gene221,12,54736210,54736210,-,0.15,0.24,0.38,0.59,0.26,0.86,0.87,0.24,0.47,0.47,0.77,0.36,0.26,0.68,0.91,0.43,0.21,0.16,0.47,0.56,0.77,0.13,0.63,0.27,0.75,0.26,0.88,0.63,0.35,0.84,0.6,0.86,0.1,0.89,0.79,0.9,0.36,0.64,0.45,0.88,0.25,0.33,0.02,0.52,0.46,0.41,0.44,0.41,0.94,0.56
cg00002129,Gene1332,13,28693658,28693658,+,0.49,0.43,0.58,0.28,0.93,0.0,0.6,0.87,0.57,0.95,0.18,0.03,0.99,0.53,0.23,0.83,0.65,0.71,0.59,0.13,0.38,0.45,0.63,0.29,0.7,0.07,0.66,0.59,0.51,0.27,0.87,0.69,0.16,0.75,0.37,0.16,0.17,0.24,0.95,0.56,0.69,0.61,0.71,0.09,0.6,0.73,0.01,NA,0.56,0.48
cg00002130,Gene4194,1,17368991,17368991,-,0.21,0.52,NA,0.42,0.8,0.87,0.3,0.11,0.62,NA,0.11,0.2,0.68,0.07,0.94,0.72,NA,0.3,0.71,0.7,0.87,0.86,0.88,0.05,NA,0.24,0.11,0.08,0.39,0.23,0.56,0.28,0.95,0.44,0.65,0.07,0.7,0.7,0.21,0.79,0.26,0.43,0.36,0.88,0.48,0.21,0.8,0.38,0.3,0.84
cg00002131,Gene628,17,3332039,3332039,+,0.58,0.02,0.11,0.22,0.84,0.41,0.05,0.5,0.1,0.83,0.36,0.27,0.97,0.91,0.79,0.99,0.19,0.02,NA,0.24,0.41,0.08,0.27,0.8,NA,0.99,0.28,NA,0.07,0.37,0.96,0.51,0.59,0.15,0.94,0.2,0.22,0.18,0.54,0.22,0.51,0.8,0.9,0.02,0.92,0.23,0.27,0.77,0.23,0.99
cg00002132,Gene1903,1,93356490,93356490,+,0.39,0.44,0.54,0.72,0.96,0.26,0.41,0.87,NA,0.59,0.05,NA,0.59,0.07,1.0,0.88,0.53,0.06,0.98,0.4,0.02,0.75,0.81,0.89,0.65,0.34,0.72,0.78,0.47,0.07,0.38,0.76,0.97,0.29,0.15,0.7,0.05,0.56,0.13,0.28,0.45,0.68,0.8,0.5,0.01,0.75,0.37,0.79,0.3,0.12
cg00002133,Gene1115,3,72705072,72705072,+,0.64,NA,0.08,0.64,NA,0.47,0.99,0.74,0.12,0.52,0.49,0.27,0.34,0.05,0.89,0.69,0.15,0.44,NA,0.74,0.13,0.25,0.52,NA,0.44,0.15,0.67,0.76,0.22,0.14,0.35,0.55,0.7,0.25,0.24,0.79,0.83,0.09,0.97,0.46,0.56,0.39,0.07,0.29,0.18,0.35,0.07,0.15,0.32,0.04
cg00002134,Gene3452,15,62830293,62830293,+,0.24,NA,0.63,0.15,0.79,0.67,0.42,0.29,0.61,0.95,0.7,0.17,0.92,0.8,0.58,0.06,0.62,0.87,0.85,0.94,0.02,0.33,0.71,0.24,0.48,0.62,0.12,0.19,1.0,0.72,0.13,0.37,0.0,0.8,0.72,0.09,0.49,0.45,0.54,0.82,0.65,0.75,0.24,0.23,0.24,0.4,0.73,0.68,0.92,NA
cg00002135,Gene4633,10,52048796,52048796,-,0.53,0.55,0.81,0.49,0.26,0.5,0.36,0.88,0.68,0.38,0.63,0.41,0.02,0.67,NA,NA,0.89,0.96,0.79,0.81,0.12,0.26,0.76,0.32,0.22,0.06,0.3,0.37,0.53,0.1,0.93,0.95,0.35,0.58,0.9,0.67,0.74,0.33,0.39,0.69,0.47,0.92,0.12,0.7,0.66,0.09,0.37,0.51,0.22,0.37
cg00002136,Gene4131,Y,3310994,3310994,-,0.11,0.54,0.62,0.7,0.04,0.77,0.47,NA,0.83,0.75,0.68,0.21,0.35,0.91,0.13,0.36,0.38,0.99,0.54,0.29,0.83,0.77,0.28,0.62,0.75,0.47,0.04,0.87,0.11,0.78,0.76,0.07,0.84,0.26,0.18,0.73,0.25,0.82,0.39,0.58,0.07,0.6,0.49,0.32,0.77,0.17,0.72,0.28,0.44,0.32
cg00002137,Gene4881,13,59248732,59248732,+,0.2,0.07,0.7,0.12,0.05,0.76,0.79,0.19,0.1,0.07,0.84,0.83,0.36,0.94,0.8,0.33,0.73,0.26,0.15,0.81,NA,0.77,0.46,0.71,0.29,NA,0.1,0.13,0.06,0.9,0.15,0.47,0.06,0.78,0.02,0.64,0.85,0.73,0.57,0.82,0.43,0.19,0.12,0.55,0.76,0.47,0.36,0.12,0.31,0.5
cg00002138,Gene2982,10,57721705,57721705,-,0.48,0.98,0.85,0.53,0.45,0.2,0.77,NA,0.29,0.49,0.42,0.24,0.01,0.01,0.46,0.54,0.87,0.77,0.27,0.04,0.84,0.25,0.23,0.01,0.07,0.01,0.4,0.98,0.88,0.14,NA,0.23,0.97,0.43,0.37,0.08,0.26,0.38,0.37,0.17,NA,0.13,0.7,0.48,NA,0.14,0.75,0.73,0.06,0.25
cg00002139,Gene1212,5,74305534,74305534,+,0.29,0.86,0.27,0.98,0.43,0.23,NA,0.15,0.1,0.62,0.76,0.48,0.18,0.56,0.58,0.4,0.59,0.22,0.63,0.95,0.06,0.2,0.69,0.07,0.21,0.42,0.68,0.85,0.59,0.49,0.4,0.55,0.36,0.35,0.14,0.11,0.01,0.79,0.88,0.29,0.02,0.67,NA,0.95,0.53,0.37,0.73,0.17,0.12,0.51
cg00002140,Gene2011,5,39248852,39248852,+,0.2,0.84,0.99,0.71,0.82,0.91,0.17,0.77,0.78,0.43,0.07,0.28,0.79,0.65,0.14,0.11,0.54,0.64,0.55,0.7,0.77,NA,0.65,0.64,0.13,0.75,0.74,0.55,0.01,0.36,0.16,0.96,0.62,0.57,0.52,0.99,0.62,0.8,0.69,0.24,0.57,0.47,0.28,0.63,0.71,0.55,0.87,0.03,0.36,0.88
cg00002141,Gene124,11,28762099,28762099,+,0.36,0.59,0.72,0.29,0.68,0.23,0.12,0.37,0.14,0.37,0.0,0.63,0.14,0.31,0.47,NA,0.39,0.38,0.3,0.21,0.82,0.46,0.42,0.22,0.36,0.95,0.66,0.7,0.47,0.31,0.9,0.08,0.34,0.3,0.85,0.2,0.69,0.13,0.76,0.66,0.2,0.61,0.45,0.9,0.04,0.56,0.79,0.11,0.35,0.67
cg00002142,Gene2212,10,72891714,72891714,-,0.8,0.38,0.89,0.13,0.29,0.26,0.68,0.15,0.72,NA,0.61,0.27,0.75,0.14,0.47,0.49,0.94,0.22,0.51,0.63,0.14,0.04,0.75,0.02,0.57,0.19,0.78,0.48,0.34,0.64,0.57,0.54,0.22,0.36,0.64,0.46,0.07,0.61,0.49,0.35,0.82,0.92,0.01,0.63,0.93,0.84,NA,0.0,0.02,0.65
cg00002143,Gene2540,19,88580435,88580435,-,0.72,0.71,0.86,0.65,0.42,0.34,0.35,0.27,0.56,0.59,0.66,0.5,0.61,0.25,0.07,0.95,0.05,0.89,0.44,0.99,0.69,0.15,0.45,0.36,0.66,0.68,0.22,0.75,0.1,0.19,0.76,0.35,0.06,0.72,0.91,0.75,0.96,0.9,0.44,0.46,0.54,0.83,0.78,0.44,0.43,0.7,0.06,0.18,0.61,0.39
cg00002144,Gene497,16,83521630,83521630,-,0.89,0.93,0.36,0.88,0.82,0.91,0.43,0.4,0.3,0.5,0.05,NA,0.47,0.81,NA,0.38,0.41,0.68,NA,NA,0.96,0.37,0.81,0.99,0.96,0.49,0.7,0.18,0.75,0.0,0.65,0.0,0.03,0.59,0.8,0.36,0.67,0.35,0.22,0.57,0.58,0.88,0.71,0.17,0.43,0.25,0.06,NA,0.75,0.6
cg00002145,Gene2210,Y,34189019,34189019,-,0.04,0.41,0.79,0.96,0.95,0.21,0.73,0.18,0.48,0.48,0.58,0.39,0.86,0.46,0.46,0.66,0.47,0.53,0.89,0.05,0.51,0.95,0.15,NA,0.8,0.86,0.06,0.72,0.43,0.56,0.71,0.72,0.89,0.73,0.58,0.17,0.71,NA,0.87,0.83,0.37,0.5,0.06,0.32,0.12,0.41,0.04,0.93,0.46,0.52
cg00002146,Gene2726,18,48400145,48400145,+,0.96,0.54,NA,0.42,0.23,0.44,0.04,0.71,NA,0.35,0.57,0.95,0.9,0.49,0.26,0.17,0.43,0.19,0.59,0.14,0.66,0.73,0.44,0.72,0.87,0.92,0.35,0.39,0.18,0.51,0.48,0.2,0.55,0.01,0.43,0.5,0.95,0.14,0.64,0.12,0.65,0.89,0.99,0.11,0.15,0.07,0.57,NA,0.15,0.36
cg00002147,Gene4856,13,83359819,83359819,-,0.11,0.6,0.52,0.03,0.73,NA,0.27,0.78,0.15,0.04,0.18,0.98,0.16,0.04,0.6,0.77,0.95,0.81,0.38,0.73,0.35,0.47,0.36,0.3,0.8,0.57,0.31,0.07,0.68,0.1,0.32,0.23,0.12,0.57,0.28,0.28,0.28,0.79,NA,0.04,0.84,0.12,0.38,0.11,0.6,0.89,0.2,0.34,0.45,0.51
cg00002148,Gene4486,10,75027074,75027074,-,0.74,0.93,NA,0.7,NA,0.46,0.3,0.52,NA,0.77,0.93,0.7,0.45,0.51,1.0,0.71,0.73,0.66,0.12,0.65,0.27,0.6,0.18,0.74,0.43,0.28,NA,0.55,0.33,0.1,1.0,0.6,0.07,0.2,0.79,0.88,0.59,0.29,0.24,0.56,0.79,0.83,NA,0.61,0.85,0.18,0.69,0.84,NA,0.84
cg00002149,Gene4042,X,14259495,14259495,+,0.69,0.94,0.96,0.01,0.8,0.87,0.61,0.88,0.55,0.53,0.16,0.34,0.79,0.61,0.86,0.84,0.72,0.31,0.42,0.83,0.09,0.56,0.33,0.51,0.66,0.12,0.63,0.07,0.35,0.54,0.66,0.72,0.01,NA,0.08,0.82,0.86,0.83,0.03,0.55,0.02,0.95,0.78,0.51,0.06,0.4,0.49,0.66,0.2,0.88
cg00002150,Gene3038,5,34343402,34343402,-,0.26,0.77,0.63,0.6,0.5,0.52,0.22,0.34,0.83,0.81,0.0,0.33,0.78,0.01,NA,0.66,0.37,0.01,0.53,0.58,0.84,0.07,0.19,0.17,0.45,0.34,0.43,0.82,0.25,0.1,0.96,0.7,0.83,0.78,0.68,0.52,0.78,0.22,0.32,0.57,NA,0.25,0.66,0.14,0.66,0.58,0.95,0.94,0.8,0.54
cg00002151,Gene2646,X,3732666,3732666,-,0.85,0.08,0.59,0.33,0.97,0.37,0.92,0.08,0.42,0.49,0.83,0.74,0.33,0.97,0.1,0.09,0.31,0.3,0.35,0.75,0.29,0.49,0.73,0.28,0.1,0.2,0.58,0.6,0.86,0.38,0.96,0.3,0.65,0.1,0.59,0.29,NA,0.03,0.24,NA,NA,0.64,NA,0.27,0.17,0.37,NA,0.4,NA,NA
cg00002152,Gene876,13,91608786,91608786,-,0.47,0.75,0.0,0.95,0.57,0.71,0.13,0.28,0.08,0.7,0.96,0.18,0.39,0.69,0.92,0.68,0.57,0.03,0.18,0.95,0.74,0.42,0.81,0.75,0.14,0.45,0.58,0.72,0.25,0.3,0.41,0.63,0.75,0.99,0.81,0.5,0.51,0.99,0.85,0.54,0.11,0.48,0.99,0.22,0.57,0.96,0.19,0.92,0.83,0.22
cg00002153,Gene4428,8,2153808,2153808,-,0.98,0.96,0.27,0.71,0.22,0.79,0.36,0.55,0.34,0.24,0.41,0.45,0.95,0.16,0.63,0.49,0.97,0.66,0.88,0.83,0.07,0.61,0.9,0.42,0.21,0.25,0.89,0.58,0.38,0.93,0.72,0.78,0.95,0.92,0.86,0.09,0.37,0.31,0.58,0.87,0.79,0.97,0.6,NA,0.28,0.15,0.63,NA,0.39,0.69
cg00002154,Gene1040,17,29144816,29144816,-,0.21,0.82,NA,0.51,0.71,0.64,0.52,0.66,0.45,NA,0.92,0.73,0.87,0.26,0.68,0.66,0.1,0.29,0.3,0.05,NA,0.16,0.33,0.76,0.1,0.82,0.99,0.4,0.52,0.8,0.0,0.76,0.46,NA,0.71,0.21,0.69,0.49,0.38,0.89,0.38,0.54,0.57,0.53,0.65,0.23,0.33,0.97,NA,0.0
cg00002155,Gene1669,16,42098779,42098779,+,0.44,0.82,0.26,0.7,NA,0.16,0.17,0.01,0.96,0.53,0.11,0.79,0.31,0.94,0.42,0.81,0.23,0.5,0.94,0.83,0.61,0.75,0.91,0.36,0.63,0.32,0.34,0.41,0.87,0.13,NA,0.26,0.97,0.49,0.23,0.23,0.94,NA,NA,0.92,0.71,0.65,0.41,0.34,0.67,0.71,0.62,0.93,0.19,NA
cg00002156,Gene616,7,49926731,49926731,+,0.29,0.25,0.02,0.79,0.8,0.04,0.06,0.87,0.81,0.84,0.19,0.61,0.56,0.42,0.92,0.95,0.35,0.26,0.81,0.9,0.74,0.45,0.76,0.34,0.25,NA,0.84,0.48,0.87,0.45,0.58,0.77,0.57,0.44,0.72,0.31,0.28,0.15,0.34,0.92,0.33,0.34,0.77,0.74,0.22,0.86,0.36,0.28,0.64,0.9
cg00002157,Gene3528,13,45053122,45053122,-,0.62,0.16,0.12,0.21,0.8,0.06,0.35,0.11,0.34,0.68,0.83,0.43,0.47,0.2,0.61,0.62,0.24,0.4,0.71,0.53,0.25,0.57,0.87,0.07,0.73,0.99,0.66,0.98,0.34,0.23,0.39,0.68,0.18,NA,0.61,0.51,0.81,NA,0.08,0.03,0.66,0.57,0.39,0.77,0.14,0.23,0.05,0.81,0.21,0.78
cg00002158,Gene14,6,72693727,72693727,+,0.01,0.65,0.28,0.17,0.35,0.5,0.23,0.09,0.57,0.68,0.24,0.28,0.2,0.99,0.31,0.66,0.08,0.44,0.33,0.23,0.32,0.38,0.98,0.77,0.07,0.19,0.72,0.74,0.89,0.32,0.63,0.81,0.67,0.35,0.47,0.68,0.56,0.69,0.26,0.28,0.77,0.51,0.32,0.33,0.43,0.76,0.08,0.12,NA,0.97
cg00002159,Gene3289,16,61971166,61971166,-,0.11,0.59,0.73,0.11,0.4,0.28,0.27,0.7,0.05,0.72,0.3,0.79,0.54,0.63,0.98,0.92,0.92,0.58,0.7,0.43,0.2,0.95,0.77,0.59,0.13,0.22,0.09,0.53,0.6,0.85,0.81,0.02,0.75,0.12,0.96,0.27,0.51,0.44,0.99,0.52,0.44,0.84,0.89,0.71,0.04,NA,0.74,0.43,0.39,0.97
cg00002160,Gene2384,6,25312702,25312702,-,0.7,0.39,0.59,0.39,0.35,0.38,0.75,0.59,NA,0.49,0.13,0.01,0.59,0.4,0.25,0.81,NA,NA,0.03,NA,0.56,0.7,0.22,0.41,0.74,0.45,0.68,0.63,0.53,0.82,0.15,0.08,0.12,0.57,0.43,0.6,0.72,0.21,0.77,0.26,0.86,0.64,0.26,0.57,NA,0.65,0.72,0.07,0.01,0.52
cg00002161,Gene4188,14,52929034,52929034,+,0.4,0.01,0.14,0.09,0.23,0.78,0.29,0.75,0.37,0.87,0.5,0.25,0.17,0.28,0.7,0.97,0.6,0.7,0.77,0.61,0.02,0.01,0.03,0.48,0.37,0.57,0.24,0.93,0.04,0.83,0.89,0.25,0.54,0.54,NA,NA,0.85,0.76,0.59,0.12,0.31,0.22,0.1,0.01,0.2,0.99,0.86,0.38,0.67,0.74
cg00002162,Gene1293,13,44527750,44527750,-,0.41,0.31,0.29,0.92,NA,0.25,0.85,0.74,0.74,0.16,0.85,0.86,NA,0.48,0.09,0.32,0.6,0.01,NA,0.29,NA,0.6,0.74,0.05,0.34,0.35,0.68,0.49,0.96,0.44,0.58,0.71,0.16,0.79,0.12,0.36,0.97,0.99,0.41,0.13,0.11,0.02,0.67,0.14,0.35,0.07,0.72,0.31,0.28,NA
cg00002163,Gene4560,Y,81527741,81527741,+,0.03,NA,0.39,0.41,0.36,0.17,0.86,0.03,0.88,0.7,NA,0.19,0.51,0.28,0.05,0.63,0.14,0.62,0.72,0.6,0.84,0.91,0.23,0.47,0.17,0.23,0.76,0.49,0.11,0.03,0.93,0.16,0.34,0.02,0.89,0.49,0.92,0.96,0.6,0.67,0.79,0.55,0.79,0.69,0.43,NA,0.61,0.31,0.59,0.13
cg00002164,Gene3337,8,47020055,47020055,+,0.58,NA,0.81,0.06,0.04,0.51,0.81,0.04,0.03,0.25,0.88,0.09,0.45,0.69,0.62,0.94,0.02,0.08,0.99,0.13,0.44,0.67,0.86,0.64,0.69,0.7,0.57,0.28,NA,0.52,0.24,0.75,0.45,0.14,0.76,0.81,0.35,0.73,0.58,0.76,0.5,0.98,0.42,0.35,0.53,0.92,NA,0.45,0.63,0.23
cg00002165,Gene368,Y,33213252,33213252,-,0.1,0.44,0.08,0.44,0.69,0.99,0.48,0.26,0.53,NA,0.25,0.9,0.07,0.13,0.78,0.06,0.34,0.11,0.93,0.29,0.98,0.71,0.83,0.24,0.8,0.7,0.86,0.07,0.71,0.63,0.83,0.41,0.39,0.65,0.28,0.92,0.01,0.87,0.87,0.75,0.54,0.23,0.57,0.45,0.9,0.96,0.84,0.23,0.17,0.47
cg00002166,Gene3885,11,21199268,21199268,+,0.17,0.89,0.16,0.53,0.2,0.67,0.31,0.47,NA,0.67,0.03,0.71,0.48,0.27,0.37,0.5,0.72,0.96,0.39,0.72,0.08,0.77,0.49,0.49,0.62,0.29,0.13,NA,0.78,0.78,0.83,0.38,0.93,0.02,0.37,0.5,0.81,0.9,0.39,0.48,0.15,0.22,0.74,0.21,0.31,0.22,0.75,0.2,0.17,0.96
cg00002167,Gene4202,8,41462799,41462799,-,0.74,0.23,0.34,0.04,0.2,0.65,0.12,0.68,0.65,0.26,NA,0.32,0.7,0.12,0.14,0.7,0.75,0.91,0.65,0.7,0.5,0.21,0.66,0.37,0.81,0.7,0.77,0.41,0.87,0.91,0.82,0.2,0.26,NA,0.06,0.13,0.66,0.78,0.19,0.36,0.82,0.43,0.72,0.89,0.63,0.33,0.91,0.01,0.07,0.29
cg00002168,Gene1932,16,63199682,63199682,+,0.92,0.05,0.39,0.07,0.49,0.22,0.9,0.88,0.93,0.8,0.34,0.53,0.55,0.25,0.95,0.9,0.83,NA,0.93,0.38,0.85,0.51,0.81,0.03,0.25,0.92,0.95,0.52,0.35,0.4,0.44,0.1,1.0,0.58,0.44,0.91,0.26,0.27,0.64,0.08,0.04,0.68,0.67,0.24,0.18,0.37,0.39,0.26,0.43,0.4
cg00002169,Gene4190,8,42351674,42351674,+,0.81,0.45,NA,0.44,0.8,NA,0.59,0.36,0.95,0.15,0.11,0.57,0.57,0.47,0.37,0.15,0.88,0.46,0.38,0.41,NA,NA,0.6,0.25,0.09,0.41,0.32,0.64,0.95,0.22,0.6,0.45,0.83,0.78,0.87,0.03,0.11,0.9,0.14,0.81,0.55,0.26,NA,0.53,0.29,0.73,0.13,0.6,0.11,0.8
cg00002170,Gene1540,13,95644554,95644554,-,0.05,0.55,0.85,0.65,0.23,0.08,0.93,0.03,0.5,0.88,0.64,0.21,0.02,0.57,0.74,0.87,0.38,0.08,0.17,0.3,0.26,0.29,0.34,0.44,0.42,0.65,0.84,NA,0.81,0.32,0.09,0.1,0.45,0.59,0.95,0.93,NA,0.13,0.41,0.55,0.35,0.39,0.93,0.81,0.8,0.18,0.6,0.49,0.54,0.2
cg00002171,Gene1946,3,91791968,91791968,+,0.11,0.6,0.59,0.56,0.26,0.78,0.98,0.56,0.89,0.6,0.16,0.98,0.11,NA,0.3,0.15,0.71,0.17,0.28,0.98,0.66,0.06,0.94,0.39,0.97,0.71,0.8,0.09,0.06,0.87,0.82,0.69,0.85,0.92,0.25,0.32,0.03,NA,0.39,0.96,0.36,0.13,0.91,NA,0.8,0.25,0.99,0.9,0.41,0.9
cg00002172,Gene820,18,23198890,23198890,+,0.14,0.19,0.32,0.98,0.62,0.04,NA,0.59,NA,0.56,0.18,0.61,NA,0.07,0.18,0.57,0.38,0.98,0.94,0.43,0.78,0.69,0.64,0.35,0.83,0.7,0.1,0.11,0.83,0.8,0.58,0.43,0.52,0.23,0.86,0.59,0.25,0.64,0.42,0.43,0.49,0.86,0.5,0.23,0.62,0.48,0.49,0.78,0.3,0.28
cg00002173,Gene4208,2,29432810,29432810,+,0.87,0.5,0.47,NA,0.74,0.35,0.64,0.48,0.39,0.22,0.3,0.25,0.16,0.97,NA,0.87,0.63,0.25,0.92,0.45,0.77,0.49,0.41,0.72,0.34,0.69,0.15,0.67,0.98,0.19,0.59,0.38,0.59,0.64,0.33,0.72,0.87,0.93,0.97,0.97,0.22,0.71,0.65,0.89,0.47,0.25,0.67,0.53,0.05,0.82
cg00002174,Gene1572,14,79558110,79558110,+,0.85,0.75,NA,0.68,0.31,0.08,0.39,NA,NA,0.96,0.73,0.95,0.79,0.21,0.73,0.02,0.97,NA,0.19,0.98,0.17,0.2,0.89,0.01,0.9,0.54,0.42,0.19,0.62,0.32,0.21,0.78,0.6,0.32,0.02,0.95,0.68,0.69,0.84,0.91,0.29,0.27,0.26,0.52,0.95,0.82,0.65,0.75,0.96,0.25
cg00002175,Gene3695,3,49857910,49857910,-,0.22,0.22,0.57,0.28,0.6,0.77,0.29,0.94,0.78,0.31,0.24,NA,0.6,0.52,0.31,0.39,0.52,0.25,0.03,0.36,0.68,0.99,0.04,0.36,0.16,0.24,0.41,0.58,0.8,0.77,0.84,0.24,0.47,0.36,0.02,0.62,0.26,0.96,0.63,0.62,NA,0.33,0.6,0.18,0.38,0.47,0.87,0.39,0.44,0.04
cg00002176,Gene3602,15,63335880,63335880,-,0.45,NA,0.1,0.88,0.41,0.75,0.19,0.92,0.53,0.33,0.53,0.57,0.81,0.56,0.74,0.25,0.79,0.01,0.58,0.28,0.02,0.56,0.83,0.64,0.13,0.22,0.85,0.56,0.24,0.27,0.07,0.43,0.57,0.66,0.47,0.84,0.3,0.96,0.76,0.18,0.5,0.72,0.07,0.94,NA,0.11,0.82,0.47,NA,0.61
cg00002177,Gene866,9,31248601,31248601,+,0.45,0.84,0.29,0.5,0.89,0.63,0.29,0.78,0.66,0.02,0.11,0.34,0.47,0.61,0.73,0.41,NA,0.87,0.05,0.8,0.52,0.84,0.63,0.03,0.3,0.85,0.69,0.15,0.87,0.48,0.21,0.78,0.62,0.12,0.14,0.22,0.21,0.08,0.0,0.22,0.67,0.83,0.48,0.9,0.98,0.72,0.01,0.1,0.78,0.01
cg00002178,Gene677,22,80463979,80463979,-,0.76,0.41,NA,0.53,0.88,0.33,0.74,0.4,0.23,0.02,0.45,0.29,0.76,0.75,0.22,0.7,0.24,0.63,0.59,NA,0.55,0.59,0.58,0.44,0.48,0.54,0.57,0.68,0.73,0.19,0.4,0.4,0.73,0.28,0.79,0.5,NA,0.44,0.71,0.32,0.44,0.9,0.27,0.57,0.14,0.13,0.98,0.72,NA,0.2
cg00002179,Gene2704,17,54851991,54851991,-,0.98,0.51,1.0,0.97,0.25,0.23,0.21,0.49,0.47,0.37,0.27,0.89,0.87,0.13,0.39,0.11,0.38,0.48,0.8,NA,0.06,0.12,0.03,0.02,0.32,0.98,0.12,0.16,0.12,0.27,0.6,0.38,0.26,0.44,0.98,0.31,0.69,0.07,0.61,0.84,NA,0.57,0.3,0.83,0.15,0.47,0.3,0.42,0.8,0.77
cg00002180,Gene3181,5,87629466,87629466,-,0.51,NA,0.13,0.17,0.83,0.15,0.27,0.32,0.9,0.44,0.09,0.12,0.85,0.56,0.39,0.4,0.08,0.78,0.42,0.8,0.09,0.99,0.01,0.5,0.81,NA,0.56,0.42,0.68,0.82,0.42,0.19,0.78,0.01,0.28,0.72,0.78,0.23,0.39,0.43,0.28,0.6,0.09,0.39,0.67,NA,0.9,0.84,0.14,0.34
cg00002181,Gene1356,20,10061283,10061283,+,0.38,0.58,0.63,0.98,0.08,0.62,0.36,0.8,0.57,NA,0.65,0.76,0.65,0.6,0.69,0.91,0.25,0.41,0.83,0.64,0.23,0.92,0.07,0.67,0.13,0.51,0.22,0.78,0.42,0.93,0.71,0.41,0.19,0.42,0.62,0.66,NA,0.7,0.73,0.0,0.99,0.75,0.72,0.4,0.44,0.68,0.5,0.28,NA,0.44
